Block index,Time [s]
0,1.6689300537109375e-06
1,4.76837158203125e-07
2,2.288818359375e-05
3,7.152557373046875e-07
4,7.152557373046875e-07
5,6.4373016357421875e-06
6,4.76837158203125e-07
7,2.384185791015625e-07
8,5.4836273193359375e-06
9,2.384185791015625e-07
10,4.76837158203125e-07
11,6.67572021484375e-06
12,4.76837158203125e-07
13,2.384185791015625e-07
14,5.7220458984375e-06
15,4.76837158203125e-07
16,2.384185791015625e-07
17,5.4836273193359375e-06
18,2.384185791015625e-07
19,2.384185791015625e-07
20,6.198883056640625e-06
21,4.76837158203125e-07
22,2.384185791015625e-07
23,5.9604644775390625e-06
24,2.384185791015625e-07
25,2.384185791015625e-07
26,6.67572021484375e-06
27,4.76837158203125e-07
28,2.384185791015625e-07
29,5.7220458984375e-06
30,2.384185791015625e-07
31,2.384185791015625e-07
32,6.4373016357421875e-06
33,4.76837158203125e-07
34,2.384185791015625e-07
35,6.67572021484375e-06
36,4.76837158203125e-07
37,2.384185791015625e-07
38,6.198883056640625e-06
39,2.384185791015625e-07
40,2.384185791015625e-07
41,5.7220458984375e-06
42,4.76837158203125e-07
43,2.384185791015625e-07
44,6.198883056640625e-06
45,4.76837158203125e-07
46,2.384185791015625e-07
47,5.7220458984375e-06
48,2.384185791015625e-07
49,2.384185791015625e-07
50,6.198883056640625e-06
51,4.76837158203125e-07
52,2.384185791015625e-07
53,6.198883056640625e-06
54,4.76837158203125e-07
55,2.384185791015625e-07
56,5.9604644775390625e-06
57,4.76837158203125e-07
58,2.384185791015625e-07
59,6.4373016357421875e-06
60,2.384185791015625e-07
61,2.384185791015625e-07
62,5.7220458984375e-06
63,4.76837158203125e-07
64,2.384185791015625e-07
65,6.4373016357421875e-06
66,2.384185791015625e-07
67,4.76837158203125e-07
68,6.4373016357421875e-06
69,2.384185791015625e-07
70,2.384185791015625e-07
71,5.4836273193359375e-06
72,7.152557373046875e-07
73,2.384185791015625e-07
74,5.4836273193359375e-06
75,2.384185791015625e-07
76,4.76837158203125e-07
77,5.4836273193359375e-06
78,2.384185791015625e-07
79,4.76837158203125e-07
80,6.198883056640625e-06
81,7.152557373046875e-07
82,2.384185791015625e-07
83,5.4836273193359375e-06
84,4.76837158203125e-07
85,4.76837158203125e-07
86,5.4836273193359375e-06
87,2.384185791015625e-07
88,2.384185791015625e-07
89,6.4373016357421875e-06
90,2.384185791015625e-07
91,2.384185791015625e-07
92,5.4836273193359375e-06
93,4.76837158203125e-07
94,2.384185791015625e-07
95,6.4373016357421875e-06
96,2.384185791015625e-07
97,2.384185791015625e-07
98,5.4836273193359375e-06
99,7.152557373046875e-07
100,2.384185791015625e-07
101,5.245208740234375e-06
102,2.384185791015625e-07
103,4.76837158203125e-07
104,6.9141387939453125e-06
105,4.76837158203125e-07
106,2.384185791015625e-07
107,6.198883056640625e-06
108,4.76837158203125e-07
109,2.384185791015625e-07
110,6.198883056640625e-06
111,4.76837158203125e-07
112,2.384185791015625e-07
113,6.198883056640625e-06
114,4.76837158203125e-07
115,2.384185791015625e-07
116,5.7220458984375e-06
117,4.76837158203125e-07
118,2.384185791015625e-07
119,5.7220458984375e-06
120,2.384185791015625e-07
121,2.384185791015625e-07
122,6.4373016357421875e-06
123,4.76837158203125e-07
124,2.384185791015625e-07
125,8.344650268554688e-06
126,7.152557373046875e-07
127,2.384185791015625e-07
128,6.4373016357421875e-06
129,2.384185791015625e-07
130,2.384185791015625e-07
131,6.198883056640625e-06
132,4.76837158203125e-07
133,2.384185791015625e-07
134,5.9604644775390625e-06
135,4.76837158203125e-07
136,2.384185791015625e-07
137,6.4373016357421875e-06
138,4.76837158203125e-07
139,2.384185791015625e-07
140,5.9604644775390625e-06
141,4.76837158203125e-07
142,2.384185791015625e-07
143,5.7220458984375e-06
144,4.76837158203125e-07
145,2.384185791015625e-07
146,5.7220458984375e-06
147,4.76837158203125e-07
148,2.384185791015625e-07
149,5.9604644775390625e-06
150,2.384185791015625e-07
151,2.384185791015625e-07
152,6.4373016357421875e-06
153,4.76837158203125e-07
154,2.384185791015625e-07
155,8.58306884765625e-06
156,2.384185791015625e-07
157,2.384185791015625e-07
158,5.4836273193359375e-06
159,2.384185791015625e-07
160,2.384185791015625e-07
161,5.4836273193359375e-06
162,4.76837158203125e-07
163,2.384185791015625e-07
164,6.4373016357421875e-06
165,4.76837158203125e-07
166,2.384185791015625e-07
167,6.198883056640625e-06
168,2.384185791015625e-07
169,2.384185791015625e-07
170,6.67572021484375e-06
171,2.384185791015625e-07
172,4.76837158203125e-07
173,5.7220458984375e-06
174,2.384185791015625e-07
175,2.384185791015625e-07
176,5.7220458984375e-06
177,2.384185791015625e-07
178,2.384185791015625e-07
179,6.4373016357421875e-06
180,4.76837158203125e-07
181,2.384185791015625e-07
